CASE_10361 | NEW | HIGH | artifacts=2
CASE_10668 | NEW | LOW | artifacts=1
CASE_1098 | NEW | LOW | artifacts=1
CASE_10334 | NEW | LOW | artifacts=1
CASE_10546 | NEW | LOW | artifacts=1
CASE_10321 | NEW | LOW | artifacts=1
CASE_10214 | NEW | LOW | artifacts=1
CASE_10533 | NEW | LOW | artifacts=2
CASE_10759 | NEW | LOW | artifacts=1
CASE_10859 | NEW | LOW | artifacts=1
CASE_10860 | NEW | LOW | artifacts=1
CASE_1075 | NEW | LOW | artifacts=1
CASE_10916 | NEW | LOW | artifacts=1
CASE_10435 | NEW | LOW | artifacts=1
CASE_10808 | NEW | LOW | artifacts=1
CASE_1011 | NEW | LOW | artifacts=1
CASE_10667 | NEW | LOW | artifacts=1
CASE_1078 | NEW | LOW | artifacts=1
CASE_10663 | NEW | LOW | artifacts=1
CASE_10650 | NEW | LOW | artifacts=1
CASE_10140 | NEW | LOW | artifacts=1
CASE_10778 | NEW | LOW | artifacts=1
CASE_10500 | NEW | LOW | artifacts=1
CASE_10105 | NEW | LOW | artifacts=1
CASE_10690 | NEW | LOW | artifacts=1
CASE_10192 | NEW | LOW | artifacts=1
CASE_10425 | NEW | LOW | artifacts=1
CASE_10774 | NEW | LOW | artifacts=1
CASE_10931 | NEW | LOW | artifacts=1
CASE_10433 | NEW | LOW | artifacts=1
CASE_1068 | NEW | LOW | artifacts=1
CASE_10372 | NEW | LOW | artifacts=1
CASE_10393 | NEW | LOW | artifacts=3
CASE_10635 | NEW | LOW | artifacts=1
CASE_10528 | NEW | LOW | artifacts=1
CASE_10520 | NEW | LOW | artifacts=1
CASE_10471 | NEW | LOW | artifacts=1
CASE_10996 | NEW | LOW | artifacts=1
CASE_10763 | NEW | LOW | artifacts=1
CASE_10282 | NEW | LOW | artifacts=2
CASE_10531 | NEW | LOW | artifacts=1
CASE_10706 | NEW | LOW | artifacts=1
CASE_10727 | NEW | LOW | artifacts=1
CASE_10367 | NEW | LOW | artifacts=1
CASE_10278 | NEW | LOW | artifacts=1
CASE_10592 | NEW | LOW | artifacts=1
CASE_10921 | NEW | LOW | artifacts=1
CASE_10377 | NEW | LOW | artifacts=1
CASE_10360 | NEW | LOW | artifacts=1
CASE_10915 | NEW | LOW | artifacts=1
